cell_name,cell_type,Gender,indegree,outdegree,degree,instrength,outstrength,strength,BC_wei,BC_wei_norm,BC_bin,BC_bin_norm,eccentricity,CC_wei,CC_bin,LE_wei,LE_bin
ASIL,sensory,GS,2,7,9,6,38,44,2,1.57366317313442e-05,51.6395718203893,0.000406316462250883,Inf,0.00333277490322836,0.2,0.0047331085700052,0.25
ASIR,sensory,GS,5,8,13,10,28,38,4,3.14732634626884e-05,394.702044573712,0.00310564035953256,Inf,0.00229803051147556,0.219178082191781,0.00244789141326145,0.232876712328767
ASJL,sensory,GS,2,6,8,9,52,61,580,0.00456362320208983,762.928182115155,0.00600295991970506,Inf,0.0027499264497194,0.173076923076923,0.00186158311229757,0.0961538461538462
ASJR,sensory,GS,1,6,7,3,30,33,0,0,46.8497807562888,0.000368628873227967,Inf,0.00223660416992414,0.25,0.00345440131325629,0.325
AWAL,sensory,GS,3,10,13,24,120,144,2637,0.0207487489377774,243.305184211048,0.00191440204112807,Inf,0.0102661738126552,0.34,0.0154287175142455,0.515555555555556
AWAR,sensory,GS,4,7,11,11,125,136,340,0.00267522739432852,99.3291990311765,0.000781553512661509,Inf,0.0125320369159091,0.441176470588235,0.0154346908379557,0.588235294117647
ASGL,sensory,GS,4,6,10,25,90,115,58,0.000456362320208982,79.7671602581196,0.000627633212618573,Inf,0.00517620349706011,0.151162790697674,0.00385418894864122,0.191860465116279
ASGR,sensory,GS,6,3,9,18,67,85,0,0,39.7642556493332,0.00031287772361229,Inf,0.0116376564955108,0.575757575757576,0.0125485950140715,0.666666666666667
AWBL,sensory,GS,4,7,11,12,56,68,0,0,104.136897956996,0.000819382006396906,Inf,0.00770174186452276,0.311320754716981,0.00993778272301623,0.397798742138365
AWBR,sensory,GS,5,5,10,22,67,89,0,0,31.5559687646885,0.000248292329687852,Inf,0.0149673876428298,0.488372093023256,0.018811981010719,0.662790697674418
ASEL,sensory,GS,4,6,10,11,40,51,0,0,97.4573861276464,0.000766825497495093,Inf,0.00260725238046571,0.151162790697674,0.00278965141493127,0.162790697674419
ASER,sensory,GS,4,6,10,10,50,60,238,0.00187265917602996,46.0217935607278,0.000362114008440561,Inf,0.00799309015268983,0.392857142857143,0.00984366335825608,0.490079365079365
ADFL,sensory,GS,8,10,18,59,116,175,146,0.00114877411638813,360.678362943692,0.0028379312855545,Inf,0.00625687012111231,0.22972972972973,0.00857725089293118,0.349662162162162
ADFR,sensory,GS,10,11,21,65,92,157,609,0.00479180436219432,939.232513742172,0.00739017808943263,Inf,0.00595155426946544,0.238916256157635,0.00729196191908709,0.299671592775041
AFDL,sensory,GS,5,2,7,46,64,110,351,0.00276177886885091,38.1183489598542,0.000299927209894047,Inf,0.00460125593447717,0.131578947368421,0.00460125593447717,0.131578947368421
AFDR,sensory,GS,9,6,15,47,43,90,511,0.00402070940735845,209.011423756068,0.00164456790164659,Inf,0.00250957253347875,0.17,0.0035516686767741,0.262916666666667
AWCL,sensory,GS,4,5,9,54,27,81,13,0.000102288106253737,59.7470096639742,0.000470108344065513,Inf,0.00958776296043317,0.367647058823529,0.00774926983080986,0.397058823529412
AWCR,sensory,GS,3,2,5,3,58,61,0,0,50.9869884418578,0.00040118173009991,Inf,0.0004169193764118,0.1,0.0004169193764118,0.1
ASKL,sensory,GS,10,9,19,43,37,80,84,0.000660938532716457,764.581999133241,0.00601597267438738,Inf,0.00232916393007379,0.166666666666667,0.00356887909320089,0.241010101010101
ASKR,sensory,GS,8,8,16,43,55,98,2,1.57366317313442e-05,837.704407498809,0.00659132288026633,Inf,0.00411632371979059,0.247787610619469,0.0057851298993756,0.389233038348083
ASHL,sensory,GS,3,13,16,18,109,127,117,0.000920592956283637,167.611361142664,0.00131881913214572,Inf,0.00397703217383089,0.200854700854701,0.00522899215910979,0.283048433048433
ASHR,sensory,GS,5,5,10,21,77,98,0,0,102.236004500307,0.000804425176252688,Inf,0.00778460281674072,0.36046511627907,0.0115570236186778,0.577519379844961
ADLL,sensory,GS,2,13,15,17,73,90,83,0.000653070216850785,109.450511511605,0.00086119119623269,Inf,0.00149485026538397,0.140776699029126,0.00180233585277472,0.187702265372168
ADLR,sensory,GS,8,10,18,45,160,205,1735,0.0136515280269411,1012.58506989674,0.00796733917081124,Inf,0.00404533466457706,0.154362416107383,0.00583418039477067,0.23741610738255
BAGL,sensory,GS,8,9,17,55,98,153,869,0.00683756648726907,462.904499719996,0.00364227881943786,Inf,0.00678533312114548,0.236842105263158,0.0102465566675816,0.358395989974937
