cell_name,cell_type,Gender,indegree,outdegree,degree,instrength,outstrength,strength,BC_wei,BC_wei_norm,BC_bin,BC_bin_norm,eccentricity,CC_wei,CC_bin,LE_wei,LE_bin
ASIL,sensory,GS,8,19,27,22,48,70,6,7.73574688636188e-05,72.1946549898906,0.000930799295916694,1.35999149659864,0.00252172793368058,0.292753623188406,0.00482691947526283,0.571159420289855
ASIR,sensory,GS,8,14,22,19,40,59,109,0.00140532735102241,75.4523899119752,0.000972800983883541,1.37690166975881,0.00467445049163583,0.448888888888889,0.00660496757146411,0.674074074074074
ASJL,sensory,GS,10,11,21,26,66,92,41,0.000528609370568062,180.600561043252,0.0023284670462759,1.34439092820179,0.00298342830907701,0.251231527093596,0.00506580197777727,0.408456486042693
ASJR,sensory,GS,5,5,10,23,45,68,14,0.000180500760681777,6.52287761991367,8.40988837306113e-05,1.33574703586224,0.0083160877099095,0.642857142857143,0.010825732781743,0.785714285714286
AWAL,sensory,GS,7,11,18,25,61,86,380,0.00489930636136252,29.8552528486253,0.000384921132108833,1.23191391941392,0.00472995696568142,0.387755102040816,0.00709627192243992,0.570294784580499
AWAR,sensory,GS,12,14,26,32,104,136,317,0.00408705293829453,101.919755689473,0.00131404238788934,1.2734593837535,0.00460574778689939,0.342767295597484,0.00758315613136278,0.567610062893082
ASGL,sensory,GS,10,9,19,28,78,106,89,0.00114746912147701,49.6420031775893,0.000640029952523005,1.27261632341724,0.00526328088516652,0.384146341463415,0.00806824709918597,0.652947154471545
ASGR,sensory,GS,15,10,25,42,91,133,1,1.28929114772698e-05,48.7003082088396,0.000627888762652325,1.25256304542019,0.00561819408275809,0.451890034364261,0.00776878636165461,0.698739977090493
AWBL,sensory,GS,14,20,34,38,84,122,45,0.000580181016477141,255.901344032434,0.00329931337552453,1.25845238095238,0.00259250322635989,0.248638838475499,0.00545688975259582,0.558045977011494
AWBR,sensory,GS,13,19,32,32,53,85,7,9.02503803408886e-05,184.764387171172,0.00238215088794992,1.35711448281208,0.00231018120785659,0.262345679012346,0.00435312689619739,0.515860768175583
ASEL,sensory,GS,15,19,34,51,143,194,71,0.000915396714886156,158.709039513997,0.00204622159709648,1.23962775408671,0.00468716235803863,0.319419237749546,0.00825894373396779,0.576754385964912
ASER,sensory,GS,21,20,41,84,121,205,563,0.0072587091617029,211.334786557205,0.00272472069514976,1.23499149659864,0.00409339128645258,0.322761194029851,0.0081268586169782,0.631011608623549
ADFL,sensory,GS,15,24,39,57,151,208,1257,0.0162063897269281,222.284039765615,0.002865888447508,1.21845238095238,0.00337507113410471,0.293672627235213,0.00629464747341597,0.582187070151307
ADFR,sensory,GS,23,25,48,70,224,294,250,0.00322322786931745,497.223093603868,0.0064106533302889,1.23211448281208,0.00398599782744198,0.302797833935018,0.00817903010137787,0.567043963254593
AFDL,sensory,GS,14,11,25,52,60,112,211,0.00272040432170393,136.940520451977,0.0017655620078386,1.24541479112375,0.00428695043327385,0.418965517241379,0.00767661399062489,0.497882513661202
AFDR,sensory,GS,15,10,25,67,56,123,291,0.00375183723988551,116.807997493371,0.00150599517151919,1.27020379880981,0.00392956294544442,0.308620689655172,0.00579161676204088,0.468275862068965
AWCL,sensory,GS,14,17,31,60,70,130,38,0.000489930636136252,145.245974476235,0.00187264349135189,1.25383229954125,0.00432188520897811,0.381578947368421,0.00698682723156748,0.638706140350877
AWCR,sensory,GS,16,18,34,71,120,191,272,0.00350687192181738,130.791716971022,0.00168628602886752,1.2592970521542,0.00580112945591305,0.39344262295082,0.00959380388665602,0.647465088038859
ASKL,sensory,GS,12,10,22,97,95,192,1452,0.0187205074649957,75.7690082019203,0.000976883115467887,1.28313525749859,0.0067707427411221,0.350678733031674,0.0110045616844248,0.597662141779789
ASKR,sensory,GS,15,19,34,88,116,204,2792.5,0.0360034553002759,197.99677171734,0.00255275485053686,1.26182230467945,0.00475619029054146,0.397810218978102,0.00867676822520239,0.62448347107438
ASHL,sensory,GS,16,23,39,60,179,239,815.5,0.0105141693097135,249.636652107359,0.00321854325710217,1.2911158493248,0.00416940690028925,0.302197802197802,0.00861770586803657,0.607486263736264
ASHR,sensory,GS,26,26,52,75,177,252,408,0.00526030788272608,779.296873960876,0.0100474056104906,1.26852728552236,0.00362427064416139,0.298701298701299,0.00778942819662811,0.586572925282603
ADLL,sensory,GS,12,26,38,31,160,191,24,0.000309429875454475,353.678831441829,0.00455994986516373,1.26433873144399,0.00328509865330483,0.249279538904899,0.00667393896615953,0.564481268011527
ADLR,sensory,GS,19,29,48,60,163,223,337,0.00434491116783992,603.317067984076,0.00777851355024466,1.24077853363568,0.00348191553897405,0.280323450134771,0.00714334712004476,0.546596474045054
BAGL,sensory,GS,13,21,34,54,89,143,434,0.00559552358113509,253.671227319722,0.00327056067816355,1.27127659574468,0.0034385920832537,0.270833333333333,0.0066295021505168,0.568719806763285
